t1 ;latitude;longitude;t2;LV_voltage;t3;BMS_volt_min;BMS_volt_max;BMS_volt_avg;BMS_volt_tot;t4;BMS_current;BMS_charge;t5;Accel_x;Accel_y;Accel_z;t6;BMS_temp_min;BMS_temp_max;BMS_temp_avg;t7;MC_motor_temp;t8;MC_power_stage_temp;t9;MC_air_temp;t10;MC_actual_speed;MC_actual_current;MC_output_voltage;MC_motor_power;MC_cmd_current;MC_DC_bus_voltage
1;52.96319;6.52591;1;13.94929848;1;15.23067555;12.45036877;15.60405233;15.33556178;1;13.32194103;16.014762;1;22.14899706;10.7304995;16.52683766;1;13.49998266;11.78204561;16.49708772;1;13.98248957;1;21.96295059;1;24.99516883;1;24.06158525;14.25914549;11.7990669;13.32698149;22.46759108;16.30568569
2;52.96460;6.52881;2;12.24055494;2;15.81091939;13.09660193;19.99933052;10.54189877;2;10.65794067;16.26483365;2;14.09560972;11.73767372;24.96005413;2;17.98184989;15.48679358;23.42881865;2;21.89868367;2;15.7670393;2;20.09290772;2;11.79944055;24.6539201;10.30449095;12.65520403;13.88956091;23.01083265
3;52.96463;6.52888;3;19.68758659;3;11.97202842;20.63936998;13.12218079;15.74306793;3;20.64975375;10.01888096;3;22.64699637;22.57772944;14.55883156;3;23.06422983;11.99941778;17.83749308;3;21.60831519;3;17.44514097;3;23.49117032;3;19.34766694;13.93992747;15.65311168;21.87737141;15.10285915;14.93375165
4;52.96464;6.52892;4;23.27613591;4;19.04440375;18.6825062;13.95980324;11.78240004;4;14.38818439;15.09403558;4;13.37206804;11.38346177;17.31417378;4;14.61401933;18.08847681;17.42506608;4;10.42265902;4;16.70981656;4;10.78304292;4;21.30487401;15.34164128;18.30233913;12.35189504;15.56340273;23.29848797
5;52.96465;6.52896;5;16.28666669;5;16.13081413;17.19870879;11.26544103;24.95482105;5;12.33899225;14.11416268;5;22.48851765;23.90136766;24.0331255;5;23.08722498;15.06289258;16.80416152;5;10.14800751;5;17.08663574;5;19.13776962;5;17.62338781;15.03484231;11.71600564;21.34055932;12.15516381;16.72553581
6;52.96466;6.52900;6;16.9644672;6;15.41345024;23.39862299;24.46785857;13.99723283;6;19.22873524;11.96780014;6;12.71312416;21.28260048;23.58883437;6;24.00369626;13.35412684;22.10035045;6;13.27047525;6;13.51348576;6;11.35343019;6;24.20082287;23.68169581;15.89430746;19.57916483;17.27936046;16.66450878
7;52.96466;6.52904;7;10.64090663;7;23.14050984;24.48904465;18.10336121;20.30182427;7;19.85697405;16.2789958;7;19.49442778;16.33728457;24.7785213;7;12.34545635;22.14140078;21.62018817;7;20.65667593;7;10.8089061;7;19.10607165;7;16.72968124;23.60385094;15.77898282;14.48662071;15.15937716;13.56243297
8;52.96466;6.52907;8;16.43295972;8;10.1775103;13.37226695;11.5841544;10.64802021;8;21.52155667;21.24818193;8;14.05817568;17.97930461;21.93300565;8;14.65579936;24.36313081;21.57074311;8;22.1506301;8;13.81151586;8;23.12423453;8;11.39848541;14.51550383;11.23450813;15.17442333;16.35311239;12.47921543
9;52.96466;6.52910;9;12.94322567;9;19.16999271;23.99609146;13.90552951;22.1141368;9;18.59670742;11.60410098;9;10.68027654;20.14103205;13.46152777;9;10.51696805;17.7677273;16.90751223;9;24.23798757;9;17.29233057;9;19.67230091;9;21.31095612;19.2766477;19.95322738;18.92746244;18.68914964;23.89373067
10;52.96465;6.52915;10;17.44476941;10;18.45282862;20.77186131;21.90732356;11.42770261;10;19.95697691;20.16036756;10;15.87624098;24.91520424;14.97927073;10;22.56235435;13.73244773;15.58742953;10;22.66553748;10;23.98926037;10;18.17239202;10;13.90010498;14.26163634;23.47191471;13.80044437;14.27492017;24.62244569
11;52.96463;6.52923;11;15.65074743;11;18.02664463;24.25013131;11.95992889;17.81646796;11;24.01660527;15.04534354;11;24.86215407;23.55272927;21.5854063;11;14.45525667;22.98125884;13.17752226;11;18.04038864;11;22.68778141;11;14.19286054;11;23.47453341;19.36577045;20.33481001;21.67935259;16.56718413;18.35410774
