t1, latitude, longitude, t2, LV_voltage, t3, BMS_volt_min, BMS_volt_max, BMS_volt_avg, BMS_volt_tot, t4, BMS_current, BMS_charge, t5, Accel_x, Accel_y, Accel_z, t6, BMS_temp_min, BMS_temp_max, BMS_temp_avg, t7, MC_motor_temp, t8, MC_power_stage_temp, t9, MC_air_temp, t10, MC_actual_speed, MC_actual_current, MC_output_voltage, MC_motor_power, MC_cmd_current, MC_DC_bus_voltage        
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,0.000,NaN,127.000,30.836,-0.077,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,NaN,NaN,31.135,3.880,3.960,3.920,660.180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,127.000,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.144,26.000,32.000,29.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,0.000,NaN,127.000,31.428,-0.084,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.469,-1.400,15.400,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,127.000,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,0.000,NaN,127.000,31.670,-0.081,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,31.728,12.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,127.000,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,0.000,NaN,127.000,31.838,-0.082,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,0.000,NaN,127.000,32.084,-0.082,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,NaN,NaN,32.206,3.880,3.960,3.920,660.180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,127.000,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.217,26.000,32.000,29.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,NaN,127.000,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.419,-0.900,15.400,NaN,NaN,NaN,NaN,NaN,127.000,127.000,127.000,NaN,127.000,NaN,127.000,NaN,127.000,NaN,NaN,NaN,127.000,127.000,127.000,NaN
