t1 ;latitude;longitude;t2;LV_voltage;t3;BMS_volt_min;BMS_volt_max;BMS_volt_avg;BMS_volt_tot;t4;BMS_current;BMS_charge;t5;Accel_x;Accel_y;Accel_z;t6;BMS_temp_min;BMS_temp_max;BMS_temp_avg;t7;MC_motor_temp;t8;MC_power_stage_temp;t9;MC_air_temp;t10;MC_actual_speed;MC_actual_current;MC_output_voltage;MC_motor_power;MC_cmd_current;MC_DC_bus_voltage
1;52.96319;6.52591;1;23.0569039;1;20.54886409;11.56457397;19.66745678;10.77712109;1;13.07375118;15.98360547;1;14.81647705;12.31070074;17.91623702;1;20.16948464;21.78258109;23.88885952;1;15.55238679;1;11.46069068;1;14.76474032;1;16.39158472;12.50119107;16.567104;24.45271684;19.29370891;11.0300568
2;52.9646;6.52881;2;22.59402067;2;21.30115457;19.61796666;17.84518411;13.81868899;2;16.88987194;10.50710473;2;20.87257604;10.93259493;14.28249877;2;15.66166769;18.99552126;11.81158791;2;23.0607405;2;13.92773795;2;21.56806164;2;19.05024608;23.87416301;12.1408665;19.32732578;16.52324331;11.62782611
3;52.96463;6.52888;3;19.90825169;3;10.55346807;13.14049734;20.59049788;24.4262258;3;19.6846597;24.34336892;3;17.54094824;24.94747042;11.01346595;3;17.33717952;13.14826356;15.32646184;3;15.8104157;3;15.32754562;3;10.93919752;3;13.11835362;12.63176226;18.05231093;16.59809643;18.22918892;22.81431927
4;52.96464;6.52892;4;24.40924804;4;22.6118293;22.6139533;17.45419223;23.96966329;4;23.13164714;13.40551546;4;11.94932709;11.99307636;17.09905201;4;10.39271006;23.58819756;12.21462962;4;16.84372014;4;17.0406949;4;10.14412276;4;24.09007953;13.0294467;23.93496375;11.11009857;11.03028299;18.1201591
5;52.96465;6.52896;5;20.34242992;5;19.39735158;16.65949149;20.39141894;10.69071967;5;22.83544447;12.67659655;5;23.81503695;21.80477926;13.9049448;5;15.2802384;24.38989441;17.824733;5;11.81162707;5;23.96674289;5;23.16219511;5;18.18928982;14.97647864;12.31395782;21.57353234;13.56642112;19.2533444
6;52.96466;6.529;6;21.13730023;6;20.26075645;18.40907695;12.49006224;13.11259233;6;19.00161744;14.56037658;6;17.42106876;16.79422028;10.35616804;6;20.97284484;13.25626293;16.54890089;6;19.87433489;6;22.3850877;6;19.38544652;6;17.39102524;19.5818913;14.23964549;24.23245774;13.08299852;11.12632165
7;52.96466;6.52904;7;24.23895405;7;14.15122197;21.72504715;11.41231113;11.52462825;7;15.2244533;18.22368879;7;13.70795471;19.89964647;16.12730421;7;10.20881123;17.10345531;23.20059134;7;13.48320738;7;13.83736159;7;19.21028599;7;10.9913647;19.18799852;19.20345386;18.46360867;15.24386928;20.88394032
8;52.96466;6.52907;8;19.27832143;8;23.74640407;14.71261689;14.26417249;11.50435213;8;19.7467714;24.78326131;8;18.27518578;16.70076783;24.96343197;8;13.52854114;24.89137161;20.70733944;8;12.46072551;8;17.70622372;8;18.57729837;8;17.61091344;19.92001633;14.3812798;11.89061653;16.52839018;11.28096167
9;52.96466;6.5291;9;22.62405019;9;16.95387706;24.69082586;13.11828996;23.22723501;9;19.60033448;22.24168249;9;21.76657734;14.92810188;12.64769362;9;17.05314495;22.99037109;13.48696829;9;16.51105733;9;16.44824933;9;18.62797355;9;13.24310629;22.00174237;16.75100717;21.78697265;17.22270744;17.17738679
10;52.96465;6.52915;10;14.62956142;10;11.06626112;20.85194576;18.31076623;14.17418254;10;10.7232086;15.24362665;10;13.33346159;10.84348876;17.91997495;10;23.08984701;23.30449476;13.98544581;10;17.23747483;10;13.32001366;10;10.35490124;10;23.45717103;11.41196294;11.99358712;24.06091828;18.67018929;16.13928475
11;52.96463;6.52923;11;20.43081348;11;12.34775244;21.64563038;21.02017759;16.89518858;11;13.10806157;21.2363647;11;18.77071491;13.96423425;19.03230092;11;20.27609361;23.18516144;20.44730066;11;20.63844804;11;22.64521943;11;10.30692448;11;16.43543697;17.06901;11.21634013;16.87094592;23.75916976;17.63087376
12;52.96461;6.5293;12;15.27385839;12;19.80843464;23.3871639;11.13387999;17.55071832;12;12.89832652;11.09219922;12;11.87218064;24.30386271;16.74615878;12;15.97996269;10.15574532;18.13058853;12;24.28343226;12;10.23285902;12;19.67644602;12;15.10728154;18.70999201;21.43769902;21.17440433;12.66034602;11.71333961
13;52.96458;6.52937;13;14.74365317;13;15.4118266;10.26154733;13.13033573;23.40990456;13;14.19506337;17.83817741;13;18.89239242;11.39537869;23.4735806;13;24.42560824;15.51274087;22.76676776;13;24.89432503;13;22.92380098;13;13.25022246;13;19.9439837;19.27035611;10.25401078;19.8301149;12.47267559;20.70057744
14;52.96383;6.5309;14;10.17185455;14;13.12953546;22.79303941;13.88700598;17.22746804;14;11.57324073;16.88335064;14;15.80914946;14.12555696;18.15050031;14;24.6616463;10.29034601;15.71520239;14;11.1934415;14;19.94423078;14;10.36647407;14;16.52721597;14.96731142;13.58216985;19.67483394;16.34535736;17.37139813
15;52.96381;6.53094;15;11.84903987;15;14.66699544;24.50849914;14.43188161;14.08492137;15;23.06244238;11.18768504;15;10.60972284;13.4267806;15.27685895;15;11.32137454;14.08948715;15.19730989;15;11.75428001;15;10.99660963;15;12.57081255;15;19.1907591;17.54462919;18.65486408;21.36633712;20.93936089;22.18453097
16;52.96379;6.53097;16;20.06495102;16;12.09817632;20.68977822;24.23166577;13.27052981;16;13.80335896;12.34280733;16;23.22635414;21.05976383;10.80773061;16;16.47937424;14.56345259;20.84204405;16;19.84436883;16;22.59674171;16;14.37480649;16;22.83749526;16.99778812;22.84684209;12.21030332;18.7138869;14.64155966
17;52.96376;6.53099;17;19.36168842;17;14.53216147;20.58296835;13.26429513;17.76620505;17;14.63769517;14.99164884;17;16.96721765;21.61024664;15.01624168;17;15.80618314;19.89436114;22.2300133;17;10.77891944;17;12.10174022;17;17.35589494;17;10.67984794;10.12302927;22.20328632;11.9149408;10.03256291;11.36176625
18;52.96373;6.531;18;23.7532104;18;18.80412293;11.5061564;13.98122343;22.10195169;18;10.41957826;20.84775869;18;17.96931704;15.21040884;24.92720391;18;20.06749997;20.97950783;24.05448152;18;23.98813075;18;23.50038304;18;23.43631154;18;12.28286374;15.24961783;16.84959778;19.39304796;23.1433369;10.78779569
19;52.96368;6.53101;19;14.012953;19;15.65472741;24.97054919;18.97354742;10.41120812;19;11.06898039;12.34562591;19;15.17348482;24.9283782;16.58548259;19;19.4231986;17.84084262;19.86277946;19;18.92250174;19;19.45003067;19;24.22791047;19;20.12482486;22.29884826;23.67151409;10.10524027;13.09512045;11.72644701
20;52.96359;6.53103;20;14.26078903;20;18.90943297;23.67965825;10.73247982;18.04251261;20;22.28037096;15.83298476;20;19.03011567;10.78673909;11.68746517;20;15.66843262;11.15074634;14.02920937;20;13.32355457;20;20.60200909;20;18.66241185;20;22.61498062;17.54044183;13.24850189;12.03182417;23.435416;19.59042871
21;52.96242;6.53126;21;12.96447409;21;16.66138658;14.04052953;15.07495582;21.74864939;21;23.75198184;20.25144667;21;24.88848636;14.81122688;17.12524679;21;11.76240618;18.22136801;10.52737704;21;22.91561309;21;13.55620739;21;24.39455663;21;19.65436203;18.55219412;11.1245075;12.39302073;24.91427623;23.74615797
22;52.96237;6.53126;22;10.85853088;22;13.16625387;10.81276075;15.41242067;10.91105383;22;10.19157964;11.16737079;22;11.87024708;22.93094555;21.67566874;22;18.28090294;13.16386789;15.48324109;22;21.80817885;22;16.79353442;22;12.19292166;22;24.78507982;15.45696936;19.41127329;24.48760044;17.00909498;16.65623142
23;52.96232;6.53125;23;24.35997366;23;22.92403762;15.23640047;11.29204445;19.83304764;23;15.57126705;13.11732058;23;13.49890374;18.09498412;11.01341558;23;24.16794406;10.31843897;17.82820429;23;12.78531966;23;17.35692156;23;22.58623936;23;22.70170913;11.09240337;23.26791598;24.77194042;20.34620305;11.19512276
24;52.96228;6.53123;24;22.40338289;24;22.37638647;24.98713139;17.23807975;24.02466115;24;24.70851698;24.28698447;24;19.61972815;10.63924597;22.87010527;24;19.67011026;15.84867642;15.65257432;24;15.95744197;24;22.34589698;24;14.25945662;24;10.76976745;24.12515858;22.28365948;10.15070072;22.97342792;16.53971033
25;52.96222;6.53121;25;18.54477022;25;16.01667059;14.31353652;18.28201781;19.77487027;25;16.35427763;20.89027558;25;18.7181801;10.56277408;18.44777576;25;16.39698681;12.52052299;17.37719611;25;24.38985263;25;21.18622288;25;13.74731817;25;11.67471887;24.38295683;12.8968764;17.23921968;16.98796367;19.24680542
26;52.96217;6.53117;26;24.9026285;26;18.9834684;12.85876089;15.54919834;10.8260695;26;18.455369;12.26985185;26;12.05134417;16.44777542;24.16759161;26;16.31338123;22.6596303;13.97024767;26;11.84328545;26;10.22161757;26;19.97763521;26;21.56802928;17.00537939;23.40007622;16.9932208;14.33205575;24.11243793
27;52.96213;6.53113;27;23.53384429;27;22.18664888;14.57898879;20.05146101;11.22749429;27;13.65501157;22.67534498;27;15.6025422;15.07019578;12.80819512;27;22.38080434;24.9235969;11.72782335;27;19.95066102;27;22.97337932;27;16.15733193;27;21.75762722;13.92992012;11.51071979;19.95391883;22.76999842;16.54581007
