t1 ;latitude;longitude;t2;LV_voltage;t3;BMS_volt_min;BMS_volt_max;BMS_volt_avg;BMS_volt_tot;t4;BMS_current;BMS_charge;t5;Accel_x;Accel_y;Accel_z;t6;BMS_temp_min;BMS_temp_max;BMS_temp_avg;t7;MC_motor_temp;t8;MC_power_stage_temp;t9;MC_air_temp;t10;MC_actual_speed;MC_actual_current;MC_output_voltage;MC_motor_power;MC_cmd_current;MC_DC_bus_voltage
1;52.96319;6.52591;1;23.23563299;1;10.11550543;22.65451103;21.00798301;13.78072113;1;13.80434834;19.72984218;1;14.27611854;10.53367136;24.0204846;1;16.21033023;10.75315013;14.78109385;1;20.36912659;1;21.71312361;1;21.0515683;1;23.36622276;10.02213948;23.9756856;12.81992139;21.4660888;24.17098001
2;52.96460;6.52881;2;12.77513103;2;19.23023476;15.74995667;12.5448599;14.30206687;2;24.85616151;18.91673603;2;24.7780436;20.53034946;14.06332779;2;19.25152902;24.92361219;13.9583121;2;21.09896961;2;23.84682309;2;24.60966829;2;12.84440226;15.3585355;17.86667615;24.13160077;22.42977678;14.90250795
3;52.96463;6.52888;3;19.86250549;3;23.48348458;10.85604137;21.44542381;21.26129618;3;19.71093598;24.00196653;3;17.69190193;11.66673157;13.21292392;3;24.51890156;20.47189026;24.25193178;3;16.30320645;3;21.14776736;3;12.8815777;3;22.53187313;20.47396083;15.9773729;20.78385532;19.59412406;22.1139934
4;52.96464;6.52892;4;16.24191601;4;23.97048399;16.00568181;21.97542306;17.85647978;4;22.64228359;15.43174121;4;13.42988006;10.23663268;10.80960899;4;14.03869129;11.86605681;13.19586664;4;15.92495934;4;23.58866233;4;10.37057023;4;22.59411053;23.47382771;15.86608279;23.85998068;16.35169422;18.61349724
5;52.96465;6.52896;5;11.72910622;5;10.51209575;10.53455159;10.13885663;14.90089476;5;23.97820488;10.52799805;5;11.62732126;14.33153241;21.87822776;5;14.66211517;21.39797768;19.07630222;5;21.18880872;5;24.46210032;5;10.27432417;5;17.55119862;11.07234134;22.67667436;24.97560854;17.8297673;17.79730652
6;52.96466;6.52900;6;22.55321064;6;22.20208418;14.78989086;16.51961739;17.58553551;6;12.54854893;19.19707664;6;22.62508997;10.54243212;18.0350032;6;21.91353505;13.46248242;12.92740484;6;23.06586854;6;18.54006426;6;23.35343745;6;20.54232323;21.63284667;18.71944428;22.52258236;12.74956892;23.78859773
7;52.96466;6.52904;7;21.66520231;7;17.03187716;14.39198139;11.49042768;12.21279488;7;22.59278367;11.75896699;7;14.93618195;10.50464203;11.69069599;7;17.83752563;10.44741638;15.13734276;7;13.72438249;7;19.01786868;7;10.81799762;7;16.53066175;13.65918813;11.81404659;16.08301454;12.26578593;24.44777812
8;52.96466;6.52907;8;18.64960572;8;23.77336355;10.51290312;11.12753742;17.83800277;8;16.6386244;14.22276518;8;20.2629159;12.73143574;20.12830259;8;18.88908561;14.93073586;18.26064898;8;17.76770974;8;23.55468744;8;17.07889459;8;12.26372964;21.05415811;12.9883901;23.1565244;24.73441615;13.55023327
9;52.96466;6.52910;9;14.12274568;9;18.76406011;24.39917921;17.49809629;23.30019263;9;21.49219861;13.14729448;9;11.66752475;22.26063571;12.53454616;9;20.06206779;13.93627468;16.97531771;9;12.58206324;9;11.56146484;9;11.89893362;9;23.28603866;10.02680307;16.28281782;13.61545316;22.60890106;20.80602851
10;52.96465;6.52915;10;10.17314401;10;14.02166835;24.89331237;16.24537822;24.06357571;10;23.2809809;10.87765111;10;19.74325905;15.71048792;22.20297164;10;13.86386422;10.03178342;21.08330665;10;19.3388706;10;19.80567652;10;24.32033679;10;10.99104512;22.49535643;19.79556563;22.620289;14.56270668;11.52628572
11;52.96463;6.52923;11;24.72070198;11;12.73402939;17.56069328;10.57064979;17.14357845;11;13.31424208;21.14519715;11;12.34840213;17.61477006;23.18790996;11;14.53418612;19.64487251;19.61851042;11;22.3868681;11;23.05916044;11;14.61270676;11;11.95067712;12.96698104;15.31139214;12.4879824;16.87205393;10.43652117
12;52.96461;6.52930;12;14.62360966;12;18.17572349;13.12578111;22.99399792;22.32349756;12;16.38996269;12.46317533;12;16.24027982;18.70555273;17.23704684;12;22.66932893;10.00520043;23.41574908;12;23.26314663;12;14.93251275;12;19.47912092;12;21.62029576;15.5906534;12.52532801;19.33747384;16.06571384;18.89357056
13;52.96458;6.52937;13;15.05786593;13;14.84404123;15.67278749;19.61796264;16.44767105;13;11.41210493;19.03566459;13;21.30523453;19.61392358;20.01281498;13;19.62903574;20.21819443;24.70611499;13;16.53800018;13;20.63429304;13;10.18235593;13;12.86610536;24.12885368;17.75428677;20.1682403;19.86331158;18.67705212
14;52.96383;6.53090;14;10.74607033;14;11.08893277;10.769332;21.9295635;13.8977827;14;13.60182326;18.90003498;14;17.97502856;17.53588522;19.84342228;14;19.172994;13.60095554;16.16869992;14;20.20885861;14;21.71722669;14;21.64932016;14;21.62270363;21.01216439;17.68923435;10.67430368;24.17772011;12.33974477
15;52.96381;6.53094;15;15.37211932;15;15.99691083;10.41551213;10.82432019;16.48668702;15;10.00495954;16.74758775;15;18.44819021;16.38976542;12.65665399;15;15.80661321;10.59939931;19.39285486;15;15.29719606;15;17.78757587;15;24.34364344;15;18.36089573;14.47844801;12.54995924;24.38248982;23.5072797;10.64681409
16;52.96379;6.53097;16;11.42178594;16;17.6593156;19.45821749;15.14000029;15.03065291;16;13.10284266;24.60895594;16;19.26099273;21.2092937;13.16223283;16;19.92544794;13.91993504;22.20020116;16;16.62380382;16;14.79012437;16;18.48604224;16;19.62061915;12.74801636;18.32430275;19.14558726;23.24004837;24.23972299
17;52.96376;6.53099;17;23.01068925;17;10.60547708;10.70569225;20.36067749;11.00480199;17;10.45172387;18.23227648;17;21.20359438;16.31249047;24.2887525;17;19.34457976;11.92633007;21.40583427;17;20.51435174;17;11.76630244;17;17.04165491;17;15.54576127;13.63263165;21.0572034;15.50731449;21.24244138;10.31784596
18;52.96373;6.53100;18;23.02303402;18;16.50373522;19.78741908;16.24036743;16.61532697;18;12.89943246;16.83944586;18;18.32069164;15.37952649;21.86637163;18;19.88085805;15.46077036;15.73229876;18;22.92194013;18;11.5679059;18;12.82314752;18;17.40071638;13.89560346;15.93681264;23.04808628;14.47246616;19.59937988
19;52.96368;6.53101;19;24.10813644;19;15.64648449;19.22856617;11.98676503;24.35249765;19;22.52156458;24.62900235;19;20.32204706;13.33023942;15.51573467;19;19.82476012;17.08523278;10.42877656;19;23.89330088;19;23.75730278;19;20.49827887;19;23.52069539;17.03227143;14.517821;15.67725687;18.59316813;10.97319825
20;52.96359;6.53103;20;20.04933073;20;24.66915006;15.48618571;14.72210863;23.99711343;20;24.9682147;15.11366606;20;23.51786207;10.95021651;17.92670868;20;11.9554357;10.1691689;13.85287859;20;14.62140412;20;14.82638964;20;13.94396732;20;23.15857803;13.3938916;22.55437386;13.5149769;17.4302332;19.52173856
21;52.96242;6.53126;21;21.77260122;21;12.57847301;11.88359041;18.50987975;21.68953034;21;14.86409394;21.90993432;21;18.66266787;22.24157468;22.78554952;21;17.35618502;18.6100075;10.64865589;21;13.02836607;21;18.39769734;21;15.13794627;21;14.47851244;23.85182224;20.39611699;16.70329749;23.59649573;18.29675918
22;52.96237;6.53126;22;15.97714592;22;11.26033308;17.6800253;18.65838661;23.14331779;22;13.07326946;22.25081258;22;21.63588833;13.83032966;10.30133335;22;13.09665904;12.48967313;20.05092541;22;13.44693003;22;13.79280836;22;14.84191172;22;11.62841483;21.05877139;10.81196588;19.79574578;12.82938367;19.11631962
